country,state,date,variable,generation_gwh,share_of_generation_pct,emissions_ktco2,share_of_emissions_pct
Türkiye,Adana,2021-03-01,Coal,1189.48,68.68,975.37,97.84
Türkiye,Adana,2021-03-01,Gas,8.26,0.48,4.05,0.41
Türkiye,Adana,2021-03-01,Geothermal,0,0,0,0
Türkiye,Adana,2021-03-01,Hydro,494.27,28.54,11.86,1.19
Türkiye,Adana,2021-03-01,Other Fossil,0,0,0,0
Türkiye,Adana,2021-03-01,Solar,18.49,1.07,0.89,0.09
Türkiye,Adana,2021-03-01,Wind,1.02,0.06,0.01,0
Türkiye,Adana,2021-04-01,Bioenergy,18.78,1.26,4.32,0.58
Türkiye,Adana,2021-04-01,Coal,886.86,59.44,727.23,96.87
Türkiye,Adana,2021-04-01,Gas,9.91,0.66,4.86,0.65
Türkiye,Adana,2021-04-01,Geothermal,0,0,0,0
Türkiye,Adana,2021-04-01,Hydro,554.93,37.19,13.32,1.77
Türkiye,Adana,2021-04-01,Other Fossil,0,0,0,0
Türkiye,Adana,2021-04-01,Solar,20.59,1.38,0.99,0.13
Türkiye,Adana,2021-04-01,Wind,0.93,0.06,0.01,0
Türkiye,Adana,2021-05-01,Bioenergy,18.53,1.64,4.26,0.69
Türkiye,Adana,2021-05-01,Coal,724.96,64.16,594.47,96.96
Türkiye,Adana,2021-05-01,Gas,9.64,0.85,4.72,0.77
Türkiye,Adana,2021-05-01,Geothermal,0,0,0,0
Türkiye,Adana,2021-05-01,Hydro,349.89,30.97,8.4,1.37
Türkiye,Adana,2021-05-01,Other Fossil,0,0,0,0
Türkiye,Adana,2021-05-01,Solar,25.81,2.28,1.24,0.2
Türkiye,Adana,2021-05-01,Wind,1.05,0.09,0.01,0
Türkiye,Adana,2021-06-01,Bioenergy,18.65,1.32,4.29,0.49
Türkiye,Adana,2021-06-01,Coal,1050.54,74.52,861.44,97.97
Türkiye,Adana,2021-06-01,Gas,10.28,0.73,5.04,0.57
Türkiye,Adana,2021-06-01,Geothermal,0,0,0,0
Türkiye,Adana,2021-06-01,Hydro,305.85,21.69,7.34,0.83
Türkiye,Adana,2021-06-01,Other Fossil,0,0,0,0
Türkiye,Adana,2021-06-01,Solar,23.48,1.67,1.13,0.13
Türkiye,Adana,2021-06-01,Wind,0.98,0.07,0.01,0
Türkiye,Adana,2021-07-01,Bioenergy,18.4,1.35,4.23,0.48
Türkiye,Adana,2021-07-01,Coal,1061.92,78.16,870.77,98.11
Türkiye,Adana,2021-07-01,Gas,11.35,0.84,5.56,0.63
Türkiye,Adana,2021-07-01,Geothermal,0,0,0,0
Türkiye,Adana,2021-07-01,Hydro,239.46,17.62,5.75,0.65
Türkiye,Adana,2021-07-01,Other Fossil,0,0,0,0
Türkiye,Adana,2021-07-01,Solar,26.19,1.93,1.26,0.14
Türkiye,Adana,2021-07-01,Wind,1.36,0.1,0.01,0
Türkiye,Adana,2021-08-01,Bioenergy,19.32,1.52,4.44,0.52
Türkiye,Adana,2021-08-01,Coal,1023.84,80.69,839.55,98.16
Türkiye,Adana,2021-08-01,Gas,11.38,0.9,5.58,0.65
Türkiye,Adana,2021-08-01,Geothermal,0,0,0,0
Türkiye,Adana,2021-08-01,Hydro,188.37,14.85,4.52,0.53
Türkiye,Adana,2021-08-01,Other Fossil,0,0,0,0
Türkiye,Adana,2021-08-01,Solar,24.69,1.95,1.19,0.14
Türkiye,Adana,2021-08-01,Wind,1.23,0.1,0.01,0
Türkiye,Adana,2021-09-01,Bioenergy,18.55,1.64,4.27,0.56
Türkiye,Adana,2021-09-01,Coal,909.95,80.21,746.16,97.96
Türkiye,Adana,2021-09-01,Gas,12.39,1.09,6.07,0.8
Türkiye,Adana,2021-09-01,Geothermal,0,0,0,0
Türkiye,Adana,2021-09-01,Hydro,170.74,15.05,4.1,0.54
Türkiye,Adana,2021-09-01,Other Fossil,0,0,0,0
Türkiye,Adana,2021-09-01,Solar,21.82,1.92,1.05,0.14
Türkiye,Adana,2021-09-01,Wind,1.06,0.09,0.01,0
Türkiye,Adana,2021-10-01,Bioenergy,20.37,2.6,4.69,0.95
Türkiye,Adana,2021-10-01,Coal,581.72,74.31,477.01,96.8
Türkiye,Adana,2021-10-01,Gas,13.4,1.71,6.57,1.33
Türkiye,Adana,2021-10-01,Geothermal,0,0,0,0
Türkiye,Adana,2021-10-01,Hydro,144.71,18.48,3.47,0.7
Türkiye,Adana,2021-10-01,Other Fossil,0,0,0,0
Türkiye,Adana,2021-10-01,Solar,21.82,2.79,1.05,0.21
Türkiye,Adana,2021-10-01,Wind,0.84,0.11,0.01,0
Türkiye,Adana,2021-11-01,Bioenergy,19.6,1.66,4.51,0.55
Türkiye,Adana,2021-11-01,Coal,985.14,83.27,807.81,98.23
Türkiye,Adana,2021-11-01,Gas,11.66,0.99,5.71,0.69
Türkiye,Adana,2021-11-01,Geothermal,0,0,0,0
Türkiye,Adana,2021-11-01,Hydro,152.71,12.91,3.67,0.45
Türkiye,Adana,2021-11-01,Other Fossil,0,0,0,0
Türkiye,Adana,2021-11-01,Solar,13.08,1.11,0.63,0.08
Türkiye,Adana,2021-11-01,Wind,0.82,0.07,0.01,0
Türkiye,Adana,2021-12-01,Bioenergy,15.79,1.18,3.63,0.39
Türkiye,Adana,2021-12-01,Coal,1124.5,84.09,922.09,98.49
Türkiye,Adana,2021-12-01,Gas,11.86,0.89,5.81,0.62
Türkiye,Adana,2021-12-01,Geothermal,0,0,0,0
Türkiye,Adana,2021-12-01,Hydro,173.71,12.99,4.17,0.45
Türkiye,Adana,2021-12-01,Other Fossil,0,0,0,0
Türkiye,Adana,2021-12-01,Solar,10.5,0.79,0.5,0.05
Türkiye,Adana,2021-12-01,Wind,0.95,0.07,0.01,0
Türkiye,Adana,2022-01-01,Bioenergy,16.55,1.02,3.81,0.38
Türkiye,Adana,2022-01-01,Coal,1187.37,72.96,973.64,98.13
Türkiye,Adana,2022-01-01,Gas,9.3,0.57,4.56,0.46
Türkiye,Adana,2022-01-01,Geothermal,0,0,0,0
Türkiye,Adana,2022-01-01,Hydro,402.63,24.74,9.66,0.97
