country,state,date,variable,generation_gwh,capacity_gw
India,Andaman and Nicobar,2022-04-01,WIND,0.0,0.0
India,Andaman and Nicobar,2022-05-01,BIO,0.0,0.0
India,Andaman and Nicobar,2022-05-01,COAL,9.44,0.04
India,Andaman and Nicobar,2022-05-01,GAS,0.0,0.0
India,Andaman and Nicobar,2022-05-01,HYDRO,0.73,0.01
India,Andaman and Nicobar,2022-05-01,NUCLEAR,0.0,0.0
India,Andaman and Nicobar,2022-05-01,OTHRENEW,0.0,0.0
India,Andaman and Nicobar,2022-05-01,SOLAR,2.69,0.03
India,Andaman and Nicobar,2022-05-01,WIND,0.0,0.0
India,Andaman and Nicobar,2022-06-01,BIO,0.0,0.0
India,Andaman and Nicobar,2022-06-01,COAL,9.69,0.04
India,Andaman and Nicobar,2022-06-01,GAS,0.0,0.0
India,Andaman and Nicobar,2022-06-01,HYDRO,1.37,0.01
India,Andaman and Nicobar,2022-06-01,NUCLEAR,0.0,0.0
India,Andaman and Nicobar,2022-06-01,OTHRENEW,0.0,0.0
India,Andaman and Nicobar,2022-06-01,SOLAR,1.66,0.03
India,Andaman and Nicobar,2022-06-01,WIND,0.0,0.0
India,Andaman and Nicobar,2022-07-01,BIO,0.0,0.0
India,Andaman and Nicobar,2022-07-01,COAL,10.34,0.04
India,Andaman and Nicobar,2022-07-01,GAS,0.0,0.0
India,Andaman and Nicobar,2022-07-01,HYDRO,1.48,0.01
India,Andaman and Nicobar,2022-07-01,NUCLEAR,0.0,0.0
India,Andaman and Nicobar,2022-07-01,OTHRENEW,0.0,0.0
India,Andaman and Nicobar,2022-07-01,SOLAR,1.64,0.03
India,Andaman and Nicobar,2022-07-01,WIND,0.0,0.0
India,Andaman and Nicobar,2022-08-01,BIO,0.0,0.0
India,Andaman and Nicobar,2022-08-01,COAL,8.69,0.04
India,Andaman and Nicobar,2022-08-01,GAS,0.0,0.0
India,Andaman and Nicobar,2022-08-01,HYDRO,1.78,0.01
India,Andaman and Nicobar,2022-08-01,NUCLEAR,0.0,0.0
India,Andaman and Nicobar,2022-08-01,OTHRENEW,0.0,0.0
India,Andaman and Nicobar,2022-08-01,SOLAR,1.9,0.03
India,Andaman and Nicobar,2022-08-01,WIND,0.0,0.0
India,Andhra Pradesh,2019-01-01,BIO,53.3,
India,Andhra Pradesh,2019-01-01,COAL,4113.01,
India,Andhra Pradesh,2019-01-01,GAS,315.73,
India,Andhra Pradesh,2019-01-01,HYDRO,191.66,
India,Andhra Pradesh,2019-01-01,NUCLEAR,0.0,
India,Andhra Pradesh,2019-01-01,OTHRENEW,0.68,
India,Andhra Pradesh,2019-01-01,SOLAR,394.84,
India,Andhra Pradesh,2019-01-01,WIND,367.77,
India,Andhra Pradesh,2019-02-01,BIO,35.31,
India,Andhra Pradesh,2019-02-01,COAL,3878.86,
India,Andhra Pradesh,2019-02-01,GAS,274.55,
India,Andhra Pradesh,2019-02-01,HYDRO,194.61,
India,Andhra Pradesh,2019-02-01,NUCLEAR,0.0,
India,Andhra Pradesh,2019-02-01,OTHRENEW,0.7,
India,Andhra Pradesh,2019-02-01,SOLAR,431.49,
India,Andhra Pradesh,2019-02-01,WIND,478.49,
India,Andhra Pradesh,2019-03-01,BIO,33.47,0.5
India,Andhra Pradesh,2019-03-01,COAL,5718.2,11.63
India,Andhra Pradesh,2019-03-01,GAS,278.12,4.88
India,Andhra Pradesh,2019-03-01,HYDRO,203.95,1.77
India,Andhra Pradesh,2019-03-01,NUCLEAR,0.0,0.0
India,Andhra Pradesh,2019-03-01,OTHRENEW,0.5,0.0
India,Andhra Pradesh,2019-03-01,SOLAR,593.25,3.09
India,Andhra Pradesh,2019-03-01,WIND,430.92,4.09
India,Andhra Pradesh,2019-04-01,BIO,24.74,0.5
India,Andhra Pradesh,2019-04-01,COAL,5366.76,11.63
India,Andhra Pradesh,2019-04-01,GAS,237.77,4.88
India,Andhra Pradesh,2019-04-01,HYDRO,179.74,1.77
India,Andhra Pradesh,2019-04-01,NUCLEAR,0.0,0.0
India,Andhra Pradesh,2019-04-01,OTHRENEW,0.6,0.0
India,Andhra Pradesh,2019-04-01,SOLAR,547.62,3.09
India,Andhra Pradesh,2019-04-01,WIND,401.42,4.09
India,Andhra Pradesh,2019-05-01,BIO,15.8,0.5
India,Andhra Pradesh,2019-05-01,COAL,5505.72,11.63
India,Andhra Pradesh,2019-05-01,GAS,219.35,4.88
India,Andhra Pradesh,2019-05-01,HYDRO,148.5,1.77
India,Andhra Pradesh,2019-05-01,NUCLEAR,0.0,0.0
India,Andhra Pradesh,2019-05-01,OTHRENEW,0.6,0.0
India,Andhra Pradesh,2019-05-01,SOLAR,579.58,3.29
India,Andhra Pradesh,2019-05-01,WIND,681.94,4.09
India,Andhra Pradesh,2019-06-01,BIO,17.26,0.5
India,Andhra Pradesh,2019-06-01,COAL,5053.33,11.63
India,Andhra Pradesh,2019-06-01,GAS,241.37,4.88
India,Andhra Pradesh,2019-06-01,HYDRO,143.84,1.77
India,Andhra Pradesh,2019-06-01,NUCLEAR,0.0,0.0
India,Andhra Pradesh,2019-06-01,OTHRENEW,0.56,0.0
India,Andhra Pradesh,2019-06-01,SOLAR,532.35,3.31
India,Andhra Pradesh,2019-06-01,WIND,1133.54,4.09
India,Andhra Pradesh,2019-07-01,BIO,16.68,0.5
India,Andhra Pradesh,2019-07-01,COAL,5249.86,11.63
India,Andhra Pradesh,2019-07-01,GAS,249.43,4.88
India,Andhra Pradesh,2019-07-01,HYDRO,130.4,1.77
India,Andhra Pradesh,2019-07-01,NUCLEAR,0.0,0.0
India,Andhra Pradesh,2019-07-01,OTHRENEW,0.64,0.0
India,Andhra Pradesh,2019-07-01,SOLAR,451.4,3.31
India,Andhra Pradesh,2019-07-01,WIND,1474.82,4.09
India,Andhra Pradesh,2019-08-01,BIO,13.14,0.5
India,Andhra Pradesh,2019-08-01,COAL,4918.33,11.63
India,Andhra Pradesh,2019-08-01,GAS,238.53,4.88
India,Andhra Pradesh,2019-08-01,HYDRO,416.17,1.77
India,Andhra Pradesh,2019-08-01,NUCLEAR,0.0,0.0
India,Andhra Pradesh,2019-08-01,OTHRENEW,0.72,0.0
India,Andhra Pradesh,2019-08-01,SOLAR,423.71,3.31
India,Andhra Pradesh,2019-08-01,WIND,1546.76,4.09
India,Andhra Pradesh,2019-09-01,BIO,11.39,0.5
India,Andhra Pradesh,2019-09-01,COAL,4625.55,11.63
India,Andhra Pradesh,2019-09-01,GAS,238.15,4.88
