country,state,year,variable,generation_gwh,share_of_generation_pct,capacity_mw,emissions_ktco2,share_of_emissions_pct
India,Arunachal Pradesh,2022,Fossil,0.0,0.0,0.0,0.0,0.0
India,Arunachal Pradesh,2022,Gas,0.0,0.0,0.0,0.0,0.0
India,Arunachal Pradesh,2022,Hydro,4836.98,99.54,1248.11,116.09,99.09
India,Arunachal Pradesh,2022,Nuclear,0.0,0.0,0.0,0.0,0.0
India,Arunachal Pradesh,2022,Other Fossil,0.0,0.0,0.0,0.0,0.0
India,Arunachal Pradesh,2022,Other Renewables,0.03,0.0,,0.0,0.0
India,Arunachal Pradesh,2022,Renewables,4859.21,100.0,1259.63,117.16,100.0
India,Arunachal Pradesh,2022,Solar,22.2,0.46,11.52,1.07,0.91
India,Arunachal Pradesh,2022,Wind,0.0,0.0,0.0,0.0,0.0
India,Arunachal Pradesh,2022,Wind and solar,22.2,0.46,11.52,1.07,0.91
India,Arunachal Pradesh,2023,Bioenergy,0.0,0.0,0.0,0.0,0.0
India,Arunachal Pradesh,2023,Clean,4292.0,100.0,1259.9,103.06,100.0
India,Arunachal Pradesh,2023,Coal,0.0,0.0,0.0,0.0,0.0
India,Arunachal Pradesh,2023,Fossil,0.0,0.0,0.0,0.0,0.0
India,Arunachal Pradesh,2023,Gas,0.0,0.0,0.0,0.0,0.0
India,Arunachal Pradesh,2023,Hydro,4289.87,99.95,1248.11,102.96,99.9
India,Arunachal Pradesh,2023,Nuclear,0.0,0.0,0.0,0.0,0.0
India,Arunachal Pradesh,2023,Other Fossil,0.0,0.0,0.0,0.0,0.0
India,Arunachal Pradesh,2023,Other Renewables,0.0,0.0,,0.0,0.0
India,Arunachal Pradesh,2023,Renewables,4292.0,100.0,1259.9,103.06,100.0
India,Arunachal Pradesh,2023,Solar,2.13,0.05,11.79,0.1,0.1
India,Arunachal Pradesh,2023,Wind,0.0,0.0,0.0,0.0,0.0
India,Arunachal Pradesh,2023,Wind and solar,2.13,0.05,11.79,0.1,0.1
India,Arunachal Pradesh,2024,Bioenergy,0.0,0.0,0.0,0.0,0.0
India,Arunachal Pradesh,2024,Clean,4297.15,100.0,1270.46,103.16,100.0
